listing_id,property_name,address,property_type,property_subtype,usage_type,status,sq_ft,price_per_sq_ft,price_basis,sale_price,cap_rate,availability,availability_date,market,country_code,country,state_province,city,locality,neighborhood,submarket,postal_code,geo_lat,geo_lng,map_url,facing,furnishing_status,loading_access,dock_doors,drive_in_doors,parking_spaces,nearest_highway,rail_access,additional_information
LC-US-1323,Aurora Creative 1323,"7811 Spruce Ave, Denver",office,creative,office,available,38719,81.00,annual_rent,26367639,0.0780,Immediate,2026-05-19,Denver,US,United States,CO,Denver,Aurora,Aurora,Denver - Aurora,81639,39.828368,-105.052688,"https://www.google.com/maps/search/?api=1&query=39.828368,-105.052688",east,shell,,,,686,E-470,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Denver - Aurora."
LC-US-0384,Alliance Industrial Outdoor Storage 384,"3226 Spruce Ave, Dallas",land,industrial_outdoor_storage,development,sold,,30.00,annual_rent,248488380,,Sold,2026-05-19,Dallas-Fort Worth,US,United States,TX,Dallas,Alliance,Alliance,Dallas-Fort Worth - Alliance,98196,32.817217,-96.833053,"https://www.google.com/maps/search/?api=1&query=32.817217,-96.833053",street_front,turnkey,,,,688,I-635,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on development use in Dallas-Fort Worth - Alliance."
LC-GB-1973,Shoreditch Purpose Built 1973,"1731 Harbor Ave, London",mixed_use,purpose_built,mixed_use,leased,6025,85.00,annual_rent,3337850,0.0575,Leased,2026-05-19,London,GB,United Kingdom,England,London,Shoreditch,Shoreditch,London - Shoreditch,GB-4361,51.482684,-0.153655,"https://www.google.com/maps/search/?api=1&query=51.482684,-0.153655",corner,furnished,,,,696,M4,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on mixed_use use in London - Shoreditch."
LC-ES-2150,Chamartin Storefront 2150,"6862 Foundry Ave, Madrid",retail,storefront,retail,coming_soon,19205,82.00,annual_rent,8584635,0.0508,Q4 2026,2026-11-01,Madrid,ES,Spain,Community of Madrid,Madrid,Chamartin,Chamartin,Madrid - Chamartin,ES-4736,40.426811,-3.713108,"https://www.google.com/maps/search/?api=1&query=40.426811,-3.713108",dual_aspect,warm_shell,,,,114,M-40,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on retail use in Madrid - Chamartin."
LC-NL-2079,Schiphol Mixed Use Site 2079,"1955 Beacon Pkwy, Amsterdam",land,mixed_use_site,development,sold,,102.00,annual_rent,556235412,,Sold,2026-05-19,Amsterdam/Rotterdam,NL,Netherlands,North Holland,Amsterdam,Schiphol,Schiphol,Amsterdam/Rotterdam - Schiphol,NL-1608,52.295025,4.899518,"https://www.google.com/maps/search/?api=1&query=52.295025,4.899518",courtyard,shell,,,,295,A12,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on development use in Amsterdam/Rotterdam - Schiphol."
LC-US-0250,Capitol Riverfront Storefront 250,"5813 Foundry Ave, Washington",retail,storefront,retail,coming_soon,22665,64.00,annual_rent,18675960,0.0768,Q4 2026,2026-11-01,Washington DC,US,United States,DC,Washington,Capitol Riverfront,Capitol Riverfront,Washington DC - Capitol Riverfront,75435,38.893654,-77.091458,"https://www.google.com/maps/search/?api=1&query=38.893654,-77.091458",south,partially_furnished,,,,408,I-395,freight_spur_possible,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on retail use in Washington DC - Capitol Riverfront."
LC-US-0735,Las Colinas Class B 735,"703 Skyline Ln, Dallas",office,class_b,office,available,43108,62.00,annual_rent,9957948,0.0662,Immediate,2026-05-19,Dallas-Fort Worth,US,United States,TX,Dallas,Las Colinas,Las Colinas,Dallas-Fort Worth - Las Colinas,89300,32.778770,-96.746248,"https://www.google.com/maps/search/?api=1&query=32.778770,-96.746248",courtyard,shell,,,,463,I-635,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Dallas-Fort Worth - Las Colinas."
LC-US-0023,Aurora Class A 23,"6782 Union Ln, Denver",office,class_a,office,available,74805,64.00,annual_rent,40245090,0.0626,Immediate,2026-05-19,Denver,US,United States,CO,Denver,Aurora,Aurora,Denver - Aurora,31652,39.688752,-104.984848,"https://www.google.com/maps/search/?api=1&query=39.688752,-104.984848",courtyard,furnished,,,,125,I-70,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Denver - Aurora."
LC-IT-2026,Zona Tortona Creative 2026,"6266 Harbor Way, Milan",office,creative,office,available,47212,88.00,annual_rent,9395188,0.0796,Immediate,2026-05-19,Milan,IT,Italy,Lombardy,Milan,Zona Tortona,Zona Tortona,Milan - Zona Tortona,IT-3148,45.467079,9.170230,"https://www.google.com/maps/search/?api=1&query=45.467079,9.170230",south,partially_furnished,,,,232,A4,freight_spur_possible,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Milan - Zona Tortona."
LC-DE-1992,Tempelhof Urban 1992,"3235 Canal Ave, Berlin",medical,urban,medical,pipeline,42902,89.00,annual_rent,17117898,,Pipeline delivery,2027-03-01,Berlin,DE,Germany,Berlin,Berlin,Tempelhof,Tempelhof,Berlin - Tempelhof,DE-2273,52.526032,13.469048,"https://www.google.com/maps/search/?api=1&query=52.526032,13.469048",street_front,turnkey,,,,483,A113,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on medical use in Berlin - Tempelhof."
