listing_id,property_name,address,property_type,property_subtype,usage_type,status,sq_ft,price_per_sq_ft,price_basis,sale_price,cap_rate,availability,availability_date,market,country_code,country,state_province,city,locality,neighborhood,submarket,postal_code,geo_lat,geo_lng,map_url,facing,furnishing_status,loading_access,dock_doors,drive_in_doors,parking_spaces,nearest_highway,rail_access,additional_information
LC-CA-2381,Financial District Development Site 2381,"824 Union St, Toronto",land,development_site,development,sold,,77.00,annual_rent,113762272,,Sold,2026-05-19,Toronto,CA,Canada,ON,Toronto,Financial District,Financial District,Toronto - Financial District,CA-7383,43.736548,-79.433767,"https://www.google.com/maps/search/?api=1&query=43.736548,-79.433767",corner,furnished,,,,441,Gardiner,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on development use in Toronto - Financial District."
LC-US-0267,Las Colinas Urban 267,"8044 Orchard Ln, Dallas",mixed_use,urban,mixed_use,leased,69972,43.00,annual_rent,16093560,0.0689,Leased,2026-05-19,Dallas-Fort Worth,US,United States,TX,Dallas,Las Colinas,Las Colinas,Dallas-Fort Worth - Las Colinas,88055,32.713685,-96.870533,"https://www.google.com/maps/search/?api=1&query=32.713685,-96.870533",east,shell,,,,30,I-635,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on mixed_use use in Dallas-Fort Worth - Las Colinas."
LC-DE-2020,Tempelhof Last Mile 2020,"9208 Skyline St, Berlin",industrial,last_mile,logistics,available,32745,55.00,annual_rent,8088015,0.0547,Immediate,2026-05-19,Berlin,DE,Germany,Berlin,Berlin,Tempelhof,Tempelhof,Berlin - Tempelhof,DE-9951,52.493357,13.404716,"https://www.google.com/maps/search/?api=1&query=52.493357,13.404716",west,partially_furnished,grade_level,35,0,299,A100,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Berlin - Tempelhof."
LC-US-0420,Westside Distribution 420,"170 Gallery Ave, Atlanta",industrial,distribution,logistics,available,117164,42.00,annual_rent,83889424,0.0672,Immediate,2026-05-19,Atlanta,US,United States,GA,Atlanta,Westside,Westside,Atlanta - Westside,94114,33.677070,-84.448484,"https://www.google.com/maps/search/?api=1&query=33.677070,-84.448484",west,turnkey,shared_yard,17,6,497,I-285,freight_spur_possible,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Atlanta - Westside."
LC-US-1167,Aurora Campus 1167,"7935 River Ln, Denver",mixed_use,campus,mixed_use,leased,64441,78.00,annual_rent,28676245,0.0699,Leased,2026-05-19,Denver,US,United States,CO,Denver,Aurora,Aurora,Denver - Aurora,57240,39.756988,-104.943059,"https://www.google.com/maps/search/?api=1&query=39.756988,-104.943059",courtyard,shell,,,,388,E-470,nearby_intermodal,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on mixed_use use in Denver - Aurora."
LC-DE-1448,Freiham Showroom 1448,"9277 Gallery Rd, Munich",retail,showroom,retail,coming_soon,6110,39.00,annual_rent,1112020,0.0674,Q3 2026,2026-09-01,Munich,DE,Germany,Bavaria,Munich,Freiham,Freiham,Munich - Freiham,DE-1970,48.219939,11.541296,"https://www.google.com/maps/search/?api=1&query=48.219939,11.541296",street_front,warm_shell,,,,239,A9,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on retail use in Munich - Freiham."
LC-US-1140,Round Rock Coworking Ready 1140,"229 Logistics Way, Austin",office,coworking_ready,office,coming_soon,84843,71.00,annual_rent,33258456,0.0619,Q4 2026,2026-11-01,Austin,US,United States,TX,Austin,Round Rock,Round Rock,Austin - Round Rock,46357,30.234963,-97.767187,"https://www.google.com/maps/search/?api=1&query=30.234963,-97.767187",west,turnkey,,,,599,SH 130,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on office use in Austin - Round Rock."
LC-FR-2004,Rungis Flex 2004,"8489 Gallery Pkwy, Paris",industrial,flex,logistics,available,98341,51.00,annual_rent,29698982,0.0533,Immediate,2026-05-19,Paris,FR,France,Ile-de-France,Paris,Rungis,Rungis,Paris - Rungis,FR-9847,48.817334,2.406878,"https://www.google.com/maps/search/?api=1&query=48.817334,2.406878",west,turnkey,grade_level,19,3,469,A86,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on logistics use in Paris - Rungis."
LC-US-0580,Port Houston Development Site 580,"593 Canal Ln, Houston",land,development_site,development,sold,,48.00,annual_rent,219774828,,Sold,2026-05-19,Houston,US,United States,TX,Houston,Port Houston,Port Houston,Houston - Port Houston,94485,29.716776,-95.346344,"https://www.google.com/maps/search/?api=1&query=29.716776,-95.346344",west,partially_furnished,,,,247,I-10,metro_adjacent,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on development use in Houston - Port Houston."
LC-US-1365,South Lake Union Midrise 1365,"8715 Beacon Row, Seattle",multifamily,midrise,residential,under_offer,41992,60.00,annual_rent,25741096,0.0622,Under offer,2026-06-15,Seattle,US,United States,WA,Seattle,South Lake Union,South Lake Union,Seattle - South Lake Union,17855,47.530772,-122.295725,"https://www.google.com/maps/search/?api=1&query=47.530772,-122.295725",corner,shell,,,,305,SR 167,none_reported,"Deterministic demo enrichment: public geospatial-style address/locality backbone, synthetic CRE commercial profile, review focus on residential use in Seattle - South Lake Union."
